Key,Value
zip,68131
sector,Financial Services
fullTimeEmployees,360000
longBusinessSummary,"Berkshire Hathaway Inc., through its subsidiaries, engages in the insurance, freight rail transportation, and utility businesses worldwide. It provides property, casualty, life, accident, and health insurance and reinsurance; and operates railroad systems in North America. The company also generates, transmits, stores, and distributes electricity from natural gas, coal, wind, solar, hydro, nuclear, and geothermal sources; operates natural gas distribution and storage facilities, interstate pipelines, liquefied natural gas facilities, and compressor and meter stations; and holds interest in coal mining assets. In addition, the company manufactures boxed chocolates and other confectionery products; specialty chemicals, metal cutting tools, and components for aerospace and power generation applications; and flooring, insulation, roofing and engineered, building and engineered components, paints and coatings, and bricks and masonry products, as well as offers manufactured and site-built home construction, and related lending and financial services; and recreational vehicles, apparel products, jewelry, and custom picture framing products, and alkaline batteries. Further, it manufactures castings, forgings, fasteners/fastener systems, and aerostructures; and seamless pipes, fittings, downhole casing and tubing, and various mill forms. Additionally, the company distributes televisions and information; franchises and services quick service restaurants; distributes electronic components; and offers logistics services, grocery and foodservice distribution services, and professional aviation training and shared aircraft ownership programs. It also retails automobiles; furniture, bedding, and accessories; household appliances, electronics, and computers; jewelry, watches, crystal, china, stemware, flatware, gifts, and collectibles; kitchenware; and motorcycle apparel and equipment. The company was incorporated in 1998 and is headquartered in Omaha, Nebraska."
city,Omaha
phone,402-346-1400
state,NE
country,United States
companyOfficers,[]
website,http://www.berkshirehathaway.com
maxAge,1
address1,3555 Farnam Street
industry,Insuranceâ€”Diversified
ebitdaMargins,0.45458
profitMargins,0.32002997
grossMargins,0.41395
operatingCashflow,42171998208
revenueGrowth,0.12
operatingMargins,0.41395
ebitda,122136002560
targetLowPrice,485000
recommendationKey,buy
grossProfits,69721000000
freeCashflow,70070501376
targetMedianPrice,502826
currentPrice,415660
earningsGrowth,-0.638
currentRatio,1.608
returnOnAssets,0.07941
numberOfAnalystOpinions,2
targetMeanPrice,502826
debtToEquity,23.898
returnOnEquity,0.19336
targetHighPrice,520652
totalCash,149197996032
totalDebt,114964996096
totalRevenue,268677005312
totalCashPerShare,100205.05
financialCurrency,USD
revenuePerShare,175827.33
quickRatio,1.446
recommendationMean,2.5
exchange,NYQ
shortName,Berkshire Hathaway Inc.
longName,Berkshire Hathaway Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,BRK-A
messageBoardId,finmb_255251
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.215
beta3Year,
enterpriseToEbitda,4.872
52WeekChange,0.20244598
morningStarRiskRating,
forwardEps,20337.5
revenueQuarterlyGrowth,
sharesOutstanding,619938
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,316350.56
sharesShort,455
sharesPercentSharesOut,0.00029999999
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.2026
netIncomeToCommon,85984002048
trailingEps,56269.562
lastDividendValue,
SandP52WeekChange,0.24552739
priceToBook,1.3139222
heldPercentInsiders,0.42909
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,0.25
sharesShortPreviousMonthDate,1634256000
floatShares,1224479
beta,0.907532
enterpriseValue,595059933184
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.657
priceToSalesTrailing12Months,2.2975109
dateShortInterest,1636934400
pegRatio,-1.72
ytdReturn,
forwardPE,20.438107
lastCapGain,
shortPercentOfFloat,0.0013
sharesShortPriorMonth,443
impliedSharesOutstanding,1488920
category,
fiveYearAverageReturn,
previousClose,416876
regularMarketOpen,421535
twoHundredDayAverage,416565.22
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,424668.88
navPrice,
averageDailyVolume10Day,17
regularMarketPreviousClose,416876
fiftyDayAverage,426290.88
trailingAnnualDividendRate,
open,421535
toCurrency,
averageVolume10days,17
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,415000
currency,USD
trailingPE,7.386942
regularMarketVolume,2031
lastMarket,
maxSupply,
openInterest,
marketCap,617288368128
volumeAllCurrencies,
strikePrice,
averageVolume,15
dayLow,415000
ask,418280
askSize,800
volume,2031
fiftyTwoWeekHigh,445000
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,333150
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,424668.88
regularMarketPrice,415660
preMarketPrice,
logo_url,https://logo.clearbit.com/berkshirehathaway.com
